sensor_id,dow_name,hour,median_count,mean_count,samples
2,Monday,16,1071.0,1077.3333333333333,3
2,Monday,17,1034.5,1034.5,2
2,Monday,18,722.0,722.0,1
2,Monday,19,397.0,397.0,2
2,Monday,20,270.0,268.8,5
2,Monday,21,198.0,204.4,5
2,Monday,22,129.0,136.2,5
2,Monday,23,61.0,69.2,5
2,Saturday,0,132.0,138.2,5
2,Saturday,1,96.0,97.0,5
2,Saturday,2,68.0,68.4,5
2,Saturday,3,44.0,45.0,5
2,Saturday,4,21.0,21.0,5
2,Saturday,5,16.0,18.2,5
2,Saturday,6,31.0,33.4,5
2,Saturday,7,44.0,51.8,5
2,Saturday,8,144.0,143.8,5
2,Saturday,9,411.0,409.2,5
2,Saturday,10,672.0,704.3333333333334,3
2,Saturday,11,1113.0,1128.3333333333333,3
2,Saturday,12,1373.0,1423.0,3
2,Saturday,13,1658.5,1658.5,2
2,Saturday,14,1822.0,1822.0,1
2,Saturday,15,1639.0,1639.0,2
2,Saturday,16,1752.0,1752.0,1
2,Saturday,17,1322.0,1370.6666666666667,3
2,Saturday,18,982.5,982.5,2
2,Saturday,19,777.0,776.0,3
2,Saturday,20,520.0,525.2,5
2,Saturday,21,431.0,420.0,5
2,Saturday,22,346.0,341.0,5
2,Saturday,23,271.0,293.8,5
2,Sunday,0,169.0,165.8,5
2,Sunday,1,131.0,118.8,5
2,Sunday,2,101.0,98.6,5
2,Sunday,3,73.0,79.2,5
2,Sunday,4,26.0,26.2,5
2,Sunday,5,19.0,20.2,5
2,Sunday,6,23.0,26.6,5
2,Sunday,7,47.0,49.8,5
2,Sunday,8,96.0,100.0,5
2,Sunday,9,280.0,289.8,5
2,Sunday,10,559.0,558.0,3
2,Sunday,11,974.0,998.6666666666666,3
2,Sunday,12,1291.0,1291.0,2
2,Sunday,13,1457.0,1457.0,1
2,Sunday,14,1501.0,1501.0,2
2,Sunday,15,1402.0,1402.0,1
2,Sunday,16,1056.0,1001.3333333333334,3
2,Sunday,17,999.0,861.0,3
2,Sunday,18,631.0,601.6666666666666,3
2,Sunday,20,373.0,371.6,5
2,Sunday,21,251.0,272.6,5
2,Sunday,22,151.0,187.4,5
2,Sunday,23,83.0,95.2,5
2,Thursday,0,57.0,50.5,4
2,Thursday,1,26.5,25.25,4
2,Thursday,2,28.0,26.0,4
2,Thursday,3,12.0,11.0,4
2,Thursday,4,12.0,11.5,4
2,Thursday,5,13.5,13.75,4
2,Thursday,6,60.0,59.5,4
2,Thursday,7,137.5,144.25,4
2,Thursday,8,367.0,373.25,4
2,Thursday,9,415.5,421.5,4
2,Thursday,10,627.5,627.5,2
2,Thursday,11,891.0,898.6666666666666,3
2,Thursday,12,1550.5,1550.5,2
2,Thursday,13,1615.0,1623.6666666666667,3
2,Thursday,14,1274.0,1287.6666666666667,3
2,Thursday,15,1060.0,1060.0,1
2,Thursday,16,915.0,915.0,1
2,Thursday,17,1526.0,1526.0,1
2,Thursday,18,1043.5,928.25,4
2,Thursday,19,722.0,659.0,3
2,Thursday,20,522.0,487.5,4
2,Thursday,21,350.0,353.25,4
2,Thursday,22,228.0,221.5,4
2,Thursday,23,128.5,141.75,4
2,Tuesday,0,34.0,37.0,4
2,Tuesday,1,22.5,21.75,4
2,Tuesday,2,20.0,21.25,4
2,Tuesday,3,17.5,17.75,4
2,Tuesday,4,8.5,8.5,4
2,Tuesday,5,16.5,19.0,4
2,Tuesday,6,59.5,60.75,4
2,Tuesday,7,138.5,143.0,4
2,Tuesday,8,364.0,362.25,4
2,Tuesday,9,384.0,389.0,4
2,Tuesday,10,553.0,564.0,3
2,Tuesday,11,808.0,820.0,3
2,Tuesday,12,1528.5,1528.5,2
2,Tuesday,13,1362.0,1362.0,2
2,Tuesday,14,931.5,931.5,2
2,Tuesday,15,967.0,967.0,2
2,Tuesday,16,938.0,938.0,1
2,Tuesday,17,1152.0,1152.0,1
2,Tuesday,19,471.5,471.5,2
2,Tuesday,20,314.0,310.5,4
2,Tuesday,21,227.5,232.75,4
2,Tuesday,22,163.5,147.0,4
2,Tuesday,23,75.0,73.75,4
2,Wednesday,0,38.5,34.75,4
2,Wednesday,1,15.5,16.5,4
2,Wednesday,2,15.5,16.0,4
2,Wednesday,3,12.0,13.0,4
2,Wednesday,4,9.5,9.0,4
2,Wednesday,5,15.0,14.0,3
2,Wednesday,6,58.0,55.5,4
2,Wednesday,7,144.5,139.75,4
2,Wednesday,8,355.0,356.25,4
2,Wednesday,9,453.0,454.0,4
2,Wednesday,10,533.0,536.3333333333334,3
2,Wednesday,11,848.5,848.5,2
2,Wednesday,12,1405.0,1405.0,2
2,Wednesday,13,1373.0,1408.0,3
2,Wednesday,14,1048.0,1048.0,2
2,Wednesday,15,1062.0,1062.0,1
2,Wednesday,16,979.5,979.5,2
2,Wednesday,18,909.5,909.5,2
2,Wednesday,19,539.0,537.3333333333334,3
2,Wednesday,20,361.5,354.75,4
2,Wednesday,21,265.0,266.25,4
2,Wednesday,22,168.5,163.0,4
2,Wednesday,23,80.5,80.25,4
3,Friday,0,233.5,252.0,4
3,Friday,1,152.0,145.0,4
3,Friday,2,67.0,64.0,4
3,Friday,3,38.5,42.75,4
3,Friday,4,44.0,45.75,4
3,Friday,5,45.0,45.0,4
3,Friday,6,99.0,101.0,4
3,Friday,7,181.0,170.0,4
3,Friday,8,454.0,440.0,4
3,Friday,9,606.0,595.5,4
3,Friday,10,884.5,884.5,2
3,Friday,12,2003.5,2003.5,2
3,Friday,14,1932.0,1946.0,3
3,Friday,15,2122.0,2198.0,3
3,Friday,17,2655.0,2703.6666666666665,3
3,Friday,18,2699.0,2699.0,1
3,Friday,19,2499.5,2499.5,2
3,Friday,20,2054.0,2100.5,4
3,Friday,21,1990.0,1997.0,4
3,Friday,22,1527.5,1550.0,4
3,Friday,23,1138.0,1133.5,4
3,Monday,0,185.0,226.6,5
3,Monday,1,89.0,117.2,5
3,Monday,2,54.0,76.2,5
3,Monday,3,34.0,52.2,5
3,Monday,4,30.0,34.8,5
3,Monday,5,41.0,45.4,5
3,Monday,6,81.0,77.4,5
3,Monday,7,179.0,158.8,5
3,Monday,8,485.0,410.8,5
3,Monday,9,563.0,547.8,5
3,Monday,10,1069.0,1069.0,1
3,Monday,11,1332.0,1359.3333333333333,3
3,Monday,12,1943.0,1864.3333333333333,3
3,Monday,13,2166.0,2150.0,3
3,Monday,14,2191.0,2106.6,5
3,Monday,15,2032.5,2032.5,2
3,Monday,16,2253.0,2292.6666666666665,3
3,Monday,17,2361.5,2361.5,2
3,Monday,18,2193.0,2152.0,3
3,Monday,19,1914.0,1813.0,3
3,Monday,20,1478.0,1402.6,5
3,Monday,21,1017.0,1085.2,5
3,Monday,22,535.0,588.6,5
3,Monday,23,324.0,368.8,5
3,Saturday,0,616.0,612.6,5
3,Saturday,1,395.0,386.4,5
3,Saturday,2,233.0,236.0,5
3,Saturday,3,168.0,171.0,5
3,Saturday,4,82.0,82.0,5
3,Saturday,5,53.0,51.0,5
3,Saturday,6,57.0,57.8,5
3,Saturday,7,103.0,104.8,5
3,Saturday,8,201.0,229.2,5
3,Saturday,9,401.0,456.0,5
3,Saturday,10,796.0,831.0,3
3,Saturday,11,1242.5,1263.75,4
3,Saturday,12,1679.0,1710.3333333333333,3
3,Saturday,13,2129.0,2126.6666666666665,3
3,Saturday,14,2480.5,2480.5,2
3,Saturday,15,2628.5,2628.5,2
3,Saturday,16,2559.5,2559.5,2
3,Saturday,17,2625.0,2625.0,2
3,Saturday,18,2621.0,2606.0,3
3,Saturday,19,2611.5,2615.0,4
3,Saturday,20,2342.0,2404.8,5
3,Saturday,21,2081.0,2074.0,5
3,Saturday,22,1563.0,1675.8,5
3,Saturday,23,1214.0,1222.0,5
3,Sunday,0,738.0,780.8,5
3,Sunday,1,496.0,502.6,5
3,Sunday,2,341.0,332.8,5
3,Sunday,3,283.0,277.6,5
3,Sunday,4,155.0,144.6,5
3,Sunday,5,96.0,94.8,5
3,Sunday,6,58.0,58.2,5
3,Sunday,7,73.0,76.2,5
3,Sunday,8,182.0,164.8,5
3,Sunday,9,409.0,392.2,5
3,Sunday,10,769.0,769.0,2
3,Sunday,11,1323.0,1323.0,2
3,Sunday,12,1672.0,1672.0,1
3,Sunday,13,2297.0,2461.0,3
3,Sunday,14,2376.0,2153.3333333333335,3
3,Sunday,15,2368.0,2201.25,4
3,Sunday,16,2366.0,2366.0,2
3,Sunday,17,2222.0,2238.6666666666665,3
3,Sunday,18,2009.0,2009.0,1
3,Sunday,19,1884.0,1884.0,2
3,Sunday,20,1533.0,1586.6,5
3,Sunday,21,1062.0,1234.8,5
3,Sunday,22,662.0,853.8,5
3,Sunday,23,380.0,490.2,5
3,Thursday,0,174.0,180.5,4
3,Thursday,1,90.5,94.75,4
3,Thursday,2,47.5,49.5,4
3,Thursday,3,27.0,31.0,4
3,Thursday,4,25.0,24.0,4
3,Thursday,5,42.0,41.0,4
3,Thursday,6,103.0,104.75,4
3,Thursday,7,181.0,189.5,4
3,Thursday,8,533.0,523.25,4
3,Thursday,9,603.5,611.25,4
3,Thursday,10,845.0,845.0,2
3,Thursday,11,1309.0,1309.0,2
3,Thursday,12,2082.0,2082.0,1
3,Thursday,13,2150.0,2150.0,1
3,Thursday,14,1796.0,1796.0,1
3,Thursday,15,2028.0,2028.0,2
3,Thursday,16,2175.0,2036.6666666666667,3
3,Thursday,17,1996.0,1996.0,2
3,Thursday,18,2261.0,1800.3333333333333,3
3,Thursday,20,1743.0,1585.75,4
3,Thursday,21,1455.5,1365.25,4
3,Thursday,22,875.5,873.25,4
3,Thursday,23,561.0,590.25,4
3,Tuesday,0,171.5,176.75,4
3,Tuesday,1,83.5,79.75,4
3,Tuesday,2,44.5,47.0,4
3,Tuesday,3,25.5,24.75,4
3,Tuesday,4,31.5,31.0,4
3,Tuesday,5,36.5,36.75,4
3,Tuesday,6,106.5,109.25,4
3,Tuesday,7,222.5,221.5,4
3,Tuesday,8,536.5,534.0,4
3,Tuesday,9,616.5,619.75,4
3,Tuesday,10,936.5,936.5,2
3,Tuesday,11,1342.5,1342.5,2
3,Tuesday,12,1995.0,2003.6666666666667,3
3,Tuesday,13,1950.0,1936.3333333333333,3
3,Tuesday,14,1979.0,1979.0,1
3,Tuesday,15,1962.5,1959.5,4
3,Tuesday,16,2075.0,2075.0,1
3,Tuesday,17,2297.5,2297.5,2
3,Tuesday,18,2354.0,2354.0,1
3,Tuesday,19,1831.5,1831.5,2
3,Tuesday,20,1494.5,1487.25,4
3,Tuesday,21,1171.0,1185.75,4
3,Tuesday,22,718.5,730.5,4
3,Tuesday,23,427.0,427.25,4
3,Wednesday,0,176.5,175.75,4
3,Wednesday,1,123.5,123.0,4
3,Wednesday,2,65.5,72.0,4
3,Wednesday,3,56.5,60.25,4
3,Wednesday,4,25.5,22.5,4
3,Wednesday,5,37.0,39.0,3
3,Wednesday,6,94.5,92.25,4
3,Wednesday,7,210.0,205.25,4
3,Wednesday,8,529.5,535.5,4
3,Wednesday,9,605.5,610.25,4
3,Wednesday,10,915.0,915.0,2
3,Wednesday,11,1250.5,1251.25,4
3,Wednesday,12,2001.5,2001.5,2
3,Wednesday,13,2181.0,2181.0,1
3,Wednesday,14,2012.0,2012.0,1
3,Wednesday,15,2063.0,2082.6666666666665,3
3,Wednesday,16,2238.0,2238.0,2
3,Wednesday,17,2474.0,2459.6666666666665,3
3,Wednesday,18,2168.0,2168.0,1
3,Wednesday,19,1320.5,1320.5,2
3,Wednesday,20,1604.0,1595.75,4
3,Wednesday,21,1191.0,1187.5,4
3,Wednesday,22,704.0,708.0,4
3,Wednesday,23,418.0,412.25,4
4,Friday,0,225.5,250.25,4
4,Friday,1,101.0,114.0,4
4,Friday,2,71.0,72.75,4
4,Friday,3,50.5,54.5,4
4,Friday,4,47.5,49.5,4
4,Friday,5,71.5,71.5,4
4,Friday,6,258.5,263.25,4
4,Friday,7,478.0,479.5,4
4,Friday,8,1023.0,1065.75,4
4,Friday,9,1335.5,1373.75,4
4,Friday,11,2365.0,2365.0,1
4,Friday,12,3341.0,3352.6666666666665,3
4,Friday,13,3431.0,3431.0,1
4,Friday,14,3485.5,3485.5,2
4,Friday,15,3403.5,3382.25,4
4,Friday,18,3936.0,3839.6666666666665,3
4,Friday,19,2832.5,2832.5,2
4,Friday,21,2541.0,2541.0,1
4,Friday,22,1997.5,1997.5,2
4,Friday,23,1609.5,1609.5,2
4,Monday,0,155.0,211.2,5
4,Monday,1,78.0,105.6,5
4,Monday,2,48.0,56.6,5
4,Monday,3,31.0,43.8,5
4,Monday,4,34.0,36.8,5
4,Monday,5,79.0,80.8,5
4,Monday,6,239.0,202.0,5
4,Monday,7,482.0,417.8,5
4,Monday,8,1057.0,912.8,5
4,Monday,9,1213.0,1242.8,5
4,Monday,10,1704.0,1777.0,4
4,Monday,11,2371.0,2313.25,4
4,Monday,13,3425.0,3503.75,4
4,Monday,14,3353.0,3380.4,5
4,Monday,16,3059.0,3059.0,1
4,Monday,17,3257.0,3252.5,4
4,Monday,18,2791.0,2791.0,1
4,Monday,19,2219.0,2219.0,2
4,Monday,20,1745.0,1620.3333333333333,3
4,Monday,21,1083.0,1528.0,3
4,Monday,22,627.0,872.6666666666666,3
4,Monday,23,413.0,418.75,4
4,Saturday,0,796.0,802.2,5
4,Saturday,1,532.0,469.2,5
4,Saturday,2,224.0,242.2,5
4,Saturday,3,141.0,159.8,5
4,Saturday,4,76.0,73.0,5
4,Saturday,5,73.0,71.2,5
4,Saturday,6,126.0,122.0,5
4,Saturday,7,232.0,242.4,5
4,Saturday,8,488.0,528.0,5
4,Saturday,9,1077.0,1168.8,5
4,Saturday,10,1861.0,1971.3333333333333,3
4,Saturday,11,3080.0,3068.0,4
4,Saturday,13,4215.0,4215.0,1
4,Saturday,14,4186.0,4173.75,4
4,Saturday,15,4058.0,4058.0,2
4,Saturday,16,3959.0,3979.6666666666665,3
4,Saturday,17,4153.0,4204.666666666667,3
4,Saturday,18,3907.0,3858.6666666666665,3
4,Saturday,19,3447.5,3510.5,4
4,Saturday,20,2832.0,2837.3333333333335,3
4,Saturday,21,2714.0,2919.6666666666665,3
4,Saturday,22,2172.0,2528.3333333333335,3
4,Saturday,23,1662.0,1743.3333333333333,3
4,Sunday,0,927.0,965.2,5
4,Sunday,1,508.0,511.2,5
4,Sunday,2,339.0,332.6,5
4,Sunday,3,209.0,215.6,5
4,Sunday,4,105.0,109.6,5
4,Sunday,5,110.0,110.4,5
4,Sunday,6,118.0,122.0,5
4,Sunday,7,195.0,198.8,5
4,Sunday,8,397.0,417.6,5
4,Sunday,9,878.0,918.8,5
4,Sunday,10,1581.0,1554.3333333333333,3
4,Sunday,11,2537.0,2418.0,3
4,Sunday,12,3853.0,3853.0,2
4,Sunday,13,4971.0,4554.333333333333,3
4,Sunday,14,3632.0,3469.6666666666665,3
4,Sunday,15,3394.0,3087.0,3
4,Sunday,16,3647.0,3647.0,1
4,Sunday,17,3082.0,3027.2,5
4,Sunday,18,2749.5,2660.5,4
4,Sunday,20,1640.5,1885.25,4
4,Sunday,21,1278.5,1278.5,2
4,Sunday,22,733.0,728.6666666666666,3
4,Sunday,23,465.0,669.75,4
4,Thursday,0,177.5,186.75,4
4,Thursday,1,75.5,74.75,4
4,Thursday,2,40.5,40.5,4
4,Thursday,3,35.5,33.5,4
4,Thursday,4,30.0,29.25,4
4,Thursday,5,75.0,76.25,4
4,Thursday,6,272.5,276.25,4
4,Thursday,7,585.5,673.25,4
4,Thursday,8,1428.5,1406.0,4
4,Thursday,9,1432.5,1438.0,4
4,Thursday,10,1660.0,1660.0,1
4,Thursday,11,2335.0,2322.0,3
4,Thursday,12,3482.0,3541.6666666666665,3
4,Thursday,13,3407.0,3427.3333333333335,3
4,Thursday,14,3475.0,3475.0,1
4,Thursday,15,2995.0,2995.0,2
4,Thursday,16,3244.0,3172.0,3
4,Thursday,17,4009.0,4009.0,1
4,Thursday,18,3294.5,3294.5,2
4,Thursday,19,2814.0,2825.6666666666665,3
4,Thursday,20,2126.0,1981.75,4
4,Thursday,21,1892.0,1892.0,2
4,Thursday,22,1331.0,1466.6666666666667,3
4,Thursday,23,804.0,853.0,3
4,Tuesday,0,147.5,156.75,4
4,Tuesday,1,70.5,70.5,4
