sensor_id,sensor_name,latitude,longitude
137,BouHbr2353_T,-37.81894815,144.94612292
138,EntPark1671_T,-37.81996544,144.95981454
139,Signal1647_T,-37.81959923,144.9632832
140,Boyd2837_T,-37.82590962,144.96185972
141,474Fl_T,-37.81997273,144.95834911
142,Hammer1584_T,-37.81970749,144.96795734
143,Spencer_T,-37.821728,144.95557015
144,narrLibL1L1_T,-37.80760657,144.95862847
145,narrLibL1L2_T,-37.80763871,144.95850722
146,narrLibL1L3_T,-37.80766922,144.95840594
147,narrLibMRL1_T,-37.80769805,144.95832131
148,narrLibMRL2_T,-37.80772224,144.95823515
149,narrLibL1MA_T,-37.80781158,144.9582219
150,narrLibL1MB_T,-37.80791198,144.95820087
151,narrLibL2CA_T,-37.80771581,144.9586238
152,narrLibL2S1_T,-37.80776728,144.95843977
153,narrLibL2S2_T,-37.80780367,144.95829765
154,narrLibL3C1_T,-37.80778437,144.95862772
155,narrLibL#C2_T,-37.80783201,144.95845043
158,Eli514_T,-37.80657467,144.96007044
159,Eli516_T,-37.80651646,144.96007934
160,Swa420_T,-37.80699526,144.96306214
161,BirArt1109_T,-37.81851276,144.97131336
162,Eli489_T,-37.80740397,144.95987909
164,Lat526_T,-37.813005,144.95160411
164,Lat526_T,-37.81304149,144.95155955
165,Spen475_T,-37.80953359,144.94939004
166,Spen484_T,-37.80896733,144.94931703
167,Lat526_T,-37.813005,144.95160411
167,Lat526_T,-37.81304149,144.95155955
179,Pow61_T,-37.82392385,144.96299677
180,Mac330_T,-37.79497059,144.93530329
181,Eli368_T,-37.81009465,144.96143149
182,King163_T,-37.81627451,144.95550503
182,King163_T,-37.81627451,144.95550503
182,King163_T,-37.81627451,144.95550503
184,Eli124_T,-37.81512416,144.96371988
184,Eli124_T,-37.81512416,144.96371988
184,Eli124_T,-37.81512416,144.96371988
185,Eli197_T,-37.81374643,144.96276183
185,Eli197_T,-37.81374643,144.96276183
185,Eli197_T,-37.81374643,144.96276183
