sensor_id,hour,avg_count,rank_in_sensor
23,12,726.258064516129,3.0
23,16,621.7741935483871,4.0
23,9,608.0967741935484,5.0
24,17,2387.366666666667,1.0
24,16,2070.9333333333334,2.0
24,8,1772.8064516129032,3.0
24,18,1637.3666666666666,4.0
24,15,1593.0666666666666,5.0
25,17,1472.741935483871,1.0
25,16,1307.0645161290322,2.0
25,15,1269.741935483871,3.0
25,18,1265.6129032258063,4.0
25,14,1262.483870967742,5.0
27,12,358.2903225806452,1.0
27,13,345.7096774193548,2.0
27,11,313.3225806451613,3.0
27,14,299.5806451612903,4.0
27,15,265.06451612903226,5.0
28,13,2024.8709677419354,1.0
28,12,1866.0967741935483,2.0
28,16,1836.6451612903227,3.0
28,17,1797.9354838709678,4.0
28,15,1763.4516129032259,5.0
29,19,1415.8709677419354,1.0
29,18,1351.225806451613,2.0
29,20,1238.0645161290322,3.0
29,17,1113.1290322580646,4.0
29,21,1105.9032258064517,5.0
30,18,793.5483870967741,1.0
30,19,769.9354838709677,2.0
30,20,741.7741935483871,3.0
30,17,723.741935483871,4.0
30,21,696.5806451612904,5.0
31,20,577.7741935483871,1.0
31,21,556.0,2.0
31,19,525.7096774193549,3.0
31,18,415.6774193548387,4.0
31,22,376.4193548387097,5.0
35,17,3484.9032258064517,1.0
35,18,3274.7419354838707,2.0
35,19,2824.483870967742,3.0
35,16,2676.032258064516,4.0
35,12,2469.3225806451615,5.0
36,12,530.7096774193549,1.0
36,13,508.7741935483871,2.0
36,17,474.9032258064516,3.0
36,18,371.0,4.0
36,14,360.5806451612903,5.0
37,18,253.4,1.0
37,12,242.7741935483871,2.0
37,17,235.125,3.0
37,13,222.2258064516129,4.0
37,14,201.16666666666666,5.0
39,12,319.3666666666667,1.0
39,13,290.1666666666667,2.0
39,17,192.8,3.0
39,14,173.16666666666666,4.0
39,10,165.76666666666668,5.0
40,12,671.4516129032259,1.0
40,13,565.5806451612904,2.0
40,17,445.8709677419355,3.0
40,14,433.0967741935484,4.0
40,11,432.06451612903226,5.0
41,17,4132.709677419355,1.0
